"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","Get exercise","LMS service","Thu Mar 19 07:22:59 UTC 2026","passed","Thu Mar 19 07:23:00 UTC 2026","Get entity","Exercises","",""
"","314","Login with correct email and password","LMS service","Thu Mar 19 07:22:55 UTC 2026","passed","Thu Mar 19 07:22:56 UTC 2026","Login","Authentication","",""
"","303","Get file with incorrect file id","LMS service","Thu Mar 19 07:23:04 UTC 2026","passed","Thu Mar 19 07:23:04 UTC 2026","Validate entity","Files","",""
"","302","Create file","LMS service","Thu Mar 19 07:23:01 UTC 2026","passed","Thu Mar 19 07:23:02 UTC 2026","Create entity","Files","",""
"","332","Get courses","LMS service","Thu Mar 19 07:22:56 UTC 2026","passed","Thu Mar 19 07:22:57 UTC 2026","Get entities","Courses","",""
"","13","Get file","LMS service","Thu Mar 19 07:23:02 UTC 2026","passed","Thu Mar 19 07:23:02 UTC 2026","Get entity","Files","",""
"","23","Delete file","LMS service","Thu Mar 19 07:23:05 UTC 2026","passed","Thu Mar 19 07:23:05 UTC 2026","Delete entity","Files","",""
"","329","Create course","LMS service","Thu Mar 19 07:22:58 UTC 2026","passed","Thu Mar 19 07:22:58 UTC 2026","Create entity","Courses","",""
"","0","Create file with empty directory","LMS service","Thu Mar 19 07:23:04 UTC 2026","broken","Thu Mar 19 07:23:04 UTC 2026","Validate entity","Files","",""
"","326","Create exercise","LMS service","Thu Mar 19 07:22:58 UTC 2026","passed","Thu Mar 19 07:22:58 UTC 2026","Create entity","Exercises","",""
"","17","Get exercises","LMS service","Thu Mar 19 07:23:01 UTC 2026","passed","Thu Mar 19 07:23:01 UTC 2026","Get entities","Exercises","",""
"","326","Delete exercise","LMS service","Thu Mar 19 07:23:00 UTC 2026","passed","Thu Mar 19 07:23:01 UTC 2026","Delete entity","Exercises","",""
"","614","Create user","LMS service","Thu Mar 19 07:23:04 UTC 2026","passed","Thu Mar 19 07:23:05 UTC 2026","Create entity","Users","",""
"","321","Create user","LMS service","Thu Mar 19 07:23:05 UTC 2026","passed","Thu Mar 19 07:23:05 UTC 2026","Create entity","Users","",""
"","321","Update exercise","LMS service","Thu Mar 19 07:22:59 UTC 2026","passed","Thu Mar 19 07:22:59 UTC 2026","Update entity","Exercises","",""
"","14","Get user me","LMS service","Thu Mar 19 07:23:06 UTC 2026","passed","Thu Mar 19 07:23:06 UTC 2026","Get entity","Users","",""
"","604","Create user","LMS service","Thu Mar 19 07:23:05 UTC 2026","passed","Thu Mar 19 07:23:06 UTC 2026","Create entity","Users","",""
"","0","Create file with empty filename","LMS service","Thu Mar 19 07:23:03 UTC 2026","broken","Thu Mar 19 07:23:03 UTC 2026","Validate entity","Files","",""
"","334","Update course","LMS service","Thu Mar 19 07:22:57 UTC 2026","passed","Thu Mar 19 07:22:57 UTC 2026","Update entity","Courses","",""
